               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057151,            0.025906,            0.036321,             0.36599,             0.55133,             0.39485,             0.19719,            0.021705,           0.0079577,            0.021297,            0.070254,           0.0033051,           0.0033051
                   1,            0.039214,            0.016118,            0.024099,             0.66125,             0.78452,             0.80706,             0.47822,            0.022565,           0.0046312,           0.0089375,            0.039597,           0.0059812,           0.0059812
                   2,            0.035933,            0.013325,             0.01866,             0.88323,             0.86207,             0.94568,             0.61867,            0.015284,           0.0046756,           0.0075413,           0.0082798,           0.0079973,           0.0079973
                   3,            0.030917,            0.012184,            0.016161,             0.91251,             0.84366,             0.92721,              0.5759,            0.016186,           0.0046617,           0.0069923,             0.00703,             0.00703,             0.00703
                   4,            0.026746,             0.01149,            0.012861,             0.81759,             0.88399,             0.90252,             0.60036,            0.020305,           0.0040709,           0.0061714,             0.00703,             0.00703,             0.00703
                   5,            0.025542,            0.010772,            0.011385,              0.9293,             0.92269,             0.96599,             0.71837,            0.012909,           0.0039923,           0.0054799,             0.00604,             0.00604,             0.00604
                   6,            0.022633,            0.010571,            0.011084,             0.89156,             0.94336,             0.96666,             0.73323,            0.014278,           0.0035921,           0.0039629,             0.00505,             0.00505,             0.00505
                   7,             0.02153,            0.010421,           0.0094401,             0.97515,             0.96072,             0.98938,             0.78361,            0.011799,           0.0033729,           0.0026894,             0.00406,             0.00406,             0.00406
                   8,            0.019854,           0.0096447,            0.010056,             0.97718,             0.97646,             0.99195,             0.78098,            0.010694,           0.0032491,           0.0025204,             0.00307,             0.00307,             0.00307
                   9,              0.0194,           0.0096281,           0.0083865,             0.98235,             0.98397,             0.99222,             0.81534,            0.010208,           0.0031219,           0.0018144,             0.00208,             0.00208,             0.00208
